,Scenario,AREAkm2,PRECIP_m3pd,ET_m3pd,PERC_m3pd,SURQ_m3pd,LATQ(m_m3pd,GW_Q_m3pd,SYLDt_Tons_per_d,run_rez,AREA_pctdif,PRECIP_pctdif,ET_pctdif,PERC_pctdif,SURQ_pctdif,LATQ_pctdif,GW_Q_pctdif,SYLDt_pctdif
0,EastWestMaui_Green--Default,144.48927700000007,833044.7668476629,244112.9677668878,63216.81476861097,141360.1405621451,346684.85208172066,52624.001136567116,2.48534463150685,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EastWestMaui_Green--EastWestMaui_rch_RCP45_Fog,144.48927700000007,833044.7668476629,244112.9677668878,63216.81476861097,141360.1405621451,346684.85208172066,52624.001136567116,2.48534463150685,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,EastWestMaui_Green--EastWestMaui_rch_RCP45_nondiv_Fog,144.48927700000007,833044.7668476629,244112.9677668878,63216.81476861097,141360.1405621451,346684.85208172066,52624.001136567116,2.48534463150685,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,EastWestMaui_Green--EastWestMaui_rch_RCP85_Fog,144.48927700000007,811483.2761589431,235904.11813405753,61022.08062756984,138424.29039122738,338249.19514872367,50925.501028235616,2.498737509315068,yearly,0.0,-0.02588275150003156,-0.033627257527216646,-0.0347175691953857,-0.02076858553792295,-0.02433234934362964,-0.03227614912677657,0.005388740715648019
4,EastWestMaui_Green--EastWestMaui_rch_RCP85_nondiv_Fog,144.48927700000007,811483.2761589431,235904.11813405753,61022.08062756984,138424.29039122738,338249.19514872367,50925.501028235616,2.498737509315068,yearly,0.0,-0.02588275150003156,-0.033627257527216646,-0.0347175691953857,-0.02076858553792295,-0.02433234934362964,-0.03227614912677657,0.005388740715648019
5,EastWestMaui_Growth--Default,144.48927700000007,811483.1571824802,236243.65861435057,57457.702795361634,162876.42858687937,317127.96411566314,47759.03308136713,3.0045393736986306,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EastWestMaui_Growth--EastWestMaui_rch_RCP45_Fog,144.48927700000007,833044.6326598848,244538.317978485,59434.37743815347,166405.11084324922,325120.6798956057,49256.25052537811,2.989913915342467,yearly,0.0,0.026570453479610498,0.0351106116997401,0.03440225673191034,0.021664781619936055,0.025203440517240126,0.031349408633549375,-0.0048677872169667095
7,EastWestMaui_Growth--EastWestMaui_rch_RCP45_nondiv_Fog,144.48927700000007,833044.6326598848,244538.317978485,59434.37743815347,166405.11084324922,325120.6798956057,49256.25052537811,2.989913915342467,yearly,0.0,0.026570453479610498,0.0351106116997401,0.03440225673191034,0.021664781619936055,0.025203440517240126,0.031349408633549375,-0.0048677872169667095
8,EastWestMaui_Growth--EastWestMaui_rch_RCP85_Fog,144.48927700000007,811483.1571824802,236243.65861435057,57457.702795361634,162876.42858687937,317127.96411566314,47759.03308136713,3.0045393736986306,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,EastWestMaui_Growth--EastWestMaui_rch_RCP85_nondiv_Fog,144.48927700000007,811483.1571824802,236243.65861435057,57457.702795361634,162876.42858687937,317127.96411566314,47759.03308136713,3.0045393736986306,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,EastWestMaui_Growth--Kahakuloa_rch_20yr_CcGrowth,144.48927700000104,862732.2338757991,253119.6267855034,43712.266964084345,182392.21368101664,336243.71378442284,35401.007353741195,2.2046612148351468,Daily,6.687957339794397e-15,0.06315482489033891,0.07143458694356553,-0.2392270341930014,0.11981957894986275,0.06027771698426378,-0.25875787113553056,-0.26622322405408266
11,EastWestMaui_MGrowth--Default,144.48927700000007,833044.9105245697,243490.16611205193,61316.745055227446,153733.0072973863,336698.45231681113,50893.183521076724,2.381775561643837,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,EastWestMaui_MGrowth--EastWestMaui_rch_RCP45_Fog,144.48927700000007,833044.9105245697,243490.16611205193,61316.745055227446,153733.0072973863,336698.45231681113,50893.183521076724,2.381775561643837,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,EastWestMaui_MGrowth--EastWestMaui_rch_RCP45_nondiv_Fog,144.48927700000007,833044.9105245697,243490.16611205193,61316.745055227446,153733.0072973863,336698.45231681113,50893.183521076724,2.381775561643837,yearly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,EastWestMaui_MGrowth--EastWestMaui_rch_RCP85_Fog,144.48927700000007,811483.4253951868,235224.218720548,59240.2594051397,150377.17877681906,328619.84730667924,49315.82956992054,2.3946247126027393,yearly,0.0,-0.025882740362468123,-0.03394776685847762,-0.03386490343245505,-0.0218289395333015,-0.02399359116308162,-0.03099342273416524,0.005394778234282596
